ID, NAME,CLASS,ROLL NO.,FATHER NAME,MOTHER NAME,GENDER,PHONE NO.,STREAM,ROUTE NO.,ADDRESS
IX_101,ANUSHKA TIWARI,IX,1,RAJDEV TIWARI,MEHAK TIWARI,FEMALE,6753940111,N/A,,
IX_167,ARYAN CHOPRA,IX,2,MUNISH CHOPRA,PRIYA CHOPRA,MALE,9876543210,N/A,,
IX_227,DALBIR SINGH,IX,3,JAGVIR SINGH,SHUKHDEEP KAUR,MALE,9087654321,N/A,,
IX_247,DAMAN MUNDI,IX,4,MANVEER SINGH,RANJEET KAUR,FEMALE,9008877661,N/A,,
IX_409,GURINDER SINGH,IX,5,NARYAN SINGH,BHAVNEET KAUR,MALE,7654654654,N/A,,
IX_300,HARSH KUMAR,IX,6,MAJNU KUMAR,LELA KUMAR,MALE,8765432109,N/A,,
IX_167,JUGRAJ SINGH,IX,7,JUGINDER SINGH,MANVIRKAUR,MALE,8123456790,N/A,,
IX_333,MAHINDER SINGH,IX,8,HARMAN SINGH,SANVEER KAUR,MALE,9090908790,N/A,,
IX_451,RAVNEET KAUR,IX,9,JAGTAR SINGH,MANREET KAUR,FEMALE,7823459011,N/A,,
IX_278,SANTOS ,IX,10,RAMU,ANITA SHARMA,MALE,9998877665,N/A,,
XI_356,TANYA SHARMA,IX,11,ANIL SHARMA,AVNEET SHARMA,FEMALE,9080701234,N/A,,
