,ID, NAME,CLASS,ROLL NO.,FATHER NAME,MOTHER NAME,GENDER,PHONE NO.,STREAM,ROUTE NO.,ADDRESS
0,VIII_588,ANSHU KAPOOR,VIII,1,RAMDEV KAPPOR,SUMITRA KAPOOR,FEMALE,6753940111,,,
1,VIII_423,ARMAAN SHARMA,VIII,2,SANJEEV SHARMA,RAJNI SHARMA,MALE,9876543210,,,
2,VIII_112,ARYAN SHARMA,VIII,3,NAVEEN SHARMA,NAVYA SHARMA,MALE,9087654321,,,
3,VIII_685,DALBIR SINGH,VIII,4,MANVEER SINGH,RANJEET KAUR,MALE,9008877661,,,
4,VIII_253,DARPAN SHARMA,VIII,5,NARYAN SINGH,BHAVNEET KAUR,MALE,7654654654,,,
5,VIII_474,GURJINDER SINGH,VIII,6,HARCHARAN SINGH,KIRANDEEP KAUR,MALE,8765432109,,,
6,VIII_124,HARSHIT SHARMA,VIII,7,AYUSHMAN SHARMA,SAMEERA SHARMA,MALE,8123456790,,,
7,VIII_643,JEEVAN BENIPAL,VIII,8,JAGAN BENIPAL,SIMRAN BENIPAL,MALE,9090908790,,,
8,VIII_356,JAGJEEVAN SINGH,VIII,9,JAGTAR SINGH,MANREET KAUR,MALE,7823459011,,,
9,VIII_314,MANDEEP KAUR,VIII,10,RAMU,ANITA SHARMA,FEMALE,9998877665,,,
10,VIII_317,RAMNEET SING,VIII,11,JASPREET SINGH,SHILPA SINGH,MALE,9080701234,,,
11,VIII_425,SIMRANJEET, VIII,12,HARSHDEEP SINGH,JASROOP KAUR,MALE,7689615345,,,
12,VIII_217,TANYA SHARMA,VIII,13,ARPAN SHARMA,AASTHA SHARMA,FEMALE,8924764211,,,
13,VIII_562,AVNEET SINGH,VIII,14,VIKRAMJEET SINGH,RAJWINDER KAUR,MALE,6543210987,,,
