ID, NAME,CLASS,ROLL NO.,FATHER NAME,MOTHER NAME,GENDER,PHONE NO.,STREAM,ROUTE NO.,ADDRESS
X_345,ANIKA KUMARI,X ,1,RAJDEV KUMAR,MEHUL KUMARI,FEMALE,9876543221,N/A,,
X_145,ARYAN BHUTTAR,X ,2,AJAY BHUTTAR, PRIYA CHOPRA,MALE,9089909011,N/A,,
X_233,CHAYA KAUR,X ,3,MANRAJ SINGH,SEERAT KAUR,FEMALE,6789090871,N/A,,
X_521,GAGAN MAHOLOTRA,X ,4,MUNISH MAHOLOTRA,MAYA KAUR,MALE,9911223344,N/A,,
X_002,MANREET KAUR,X ,5,BUTA SINGH,JASBIR KAUR,FEMALE,7654687654,N/A,,
X_451,MANRKIRT AUJLA,X ,6,RAMAN AUJLA,SUKHDEEP KAUR,MALE,9803463863,N/A,,
X_149,MANSEERT KAUR,X ,7,RAM SINGH,RAJDEEP KAUR,FEMALE,8925648264,N/A,,
X_119,MRINDER BHUTTAR,X ,8,NAVTEG BHUTTAR,HIMANSHU BHUTTAR,MALE,8253264786,N/A,,
X_388,NAVRAJ SINGH,X ,9,MANVIR SINGH,SAVREEN KAUR,MALE,6812475927,N/A,,
X_256,PRIYA ARORA,X ,10,RAMESH ARORA,ANIKA ARORA,FEMALE,9136578291,N/A,,
X_391,PUNEET SINGH,X ,11,JAGJEET SINGH,AVLEEN KAUR,MALE,7636483922,N/A,,
X_223,RAVNEET KAUR,X ,12,MAHESWAR SINGH,PRABHJOT KAUR,FEMALE,8254658794,N/A,,
X_317,RAVNEET SINGH,X ,13,SOHANPAL SINGH,BHAVNEET KAUR,MALE,9342144278,N/A,,
X_129,TUSHAR BHARTI,X ,14,SHAM BHARTI,AVLEEN KAUR,MALE,8415639456,N/A,,
X_289,RAMAN MANGAT,X ,15,MANRAJ MANGAT,HARSEERAT KAUR,MALE,8415139256,N/A,,
