ID, NAME,CLASS,ROLL NO.,FATHER NAME,MOTHER NAME,GENDER,PHONE NO.,STREAM,ROUTE NO.,ADDRESS
XI_231,ANMOL KAPOOR,XI,1,BHGBAN KAPOOR,SONAM KAPOOR,MALE,9354725447,MED,,
XI_187,ARYAN NEHRA,XI,2,MUNISH NEHRA,ARYA NEHRA,MALE,7823462322,NON_MED,,
XI_223,EMMA DAVID,XI,3,JOHN DAVID,LILY DAVID,FEMALE,9824512361,COM,,
XI_224,GURASIS SINGH,XI,4,HARMAN SINGH,JAPNOOR KAUR,MALE,9241747455,COM,,
XI_443,GURINDER BENIPAL,XI,5,RAMAN BENIPAL,GURNOOR BENIPAL,MALE,7251735417,NON_MED,,
XI_323,GURLEEN KAUR,XI,6,JASHANVEER SINGH,HARSIMRAN KAUR,FEMALE,8234135613,MED,,
XI_154,GURUKARAN SINGH,XI,7,SHUBHDEEP SINGH,ARMAN KAUR,FEMALE,9835346453,ARTS,,
XI_133,HARSH SINGH,XI,8,BARK SINGH,SANVEER KAUR,MALE,8835363526,COM,,
XI_291,HIMANSU KHURANI,XI,9,GAGAN KHURANI, PRABNOOR KHURANI,MALE,8251364425,ARTS,,
XI_208,JAGTAR SINGH,XI,10,MANRAJ SINGH,AVNEET KAUR,MALE,9361446477,MED,,
XI_106,JASHAN SINGH,XI,11,HARMOLAK SINGH,AVNEET SHARMA,MALE,9345163635,NON_MED,,
XI_266,JASHNEET KAUR,XI,12,SAHIL SINGH,HARLEEN KAUR,FEMALE,8452753823,NON_MED,,
XI_218,JASLEEN GILL,XI,13,RANVEER SINGH,BHAVNEET KAUR,FEMALE,8456276254,MED,,
XI_309,JUJHAR SINGH,XI,14,DAYA SINGH,SUKHDEEP KAUR,MALE,9872607513,COM,,
XI_210,MANSEERAT KAUR,XI,15,BALDEV SINGH,MANAT KAUR,FEMALE,8351744547,COM,,
XI_111,MANYASH SINGH,XI,16,SATVIR SINGH,AMRIT KAUR,MALE,8111236544,COM,,
XI_482,MOHAN SINGH,XI,17,KARAM SINGH,MANSEERAT KAUR,MALE,9354721345,COM,,
XI_313,NIMRAT KAUR,XI,18,HARMAN SINGH,SEHAJ KAUR,FEMALE,9134566765,ARTS,,
XI_414,PRABHJOT SINGH,XI,19,RANDEEP SINGH,RMINDER KAUR,MALE,9993212437,ARTS,,
XI_152,RAJKUMAR GOYAL,XI,20,RAJA GOYAL,RANI GOYAL,MALE,8142564456,COM,,
XI_367,REMAN KAUR,XI,21,GAGAN SINGH,DAMAN KAUR,FEMALE,8924524614,COM,,
XI_517,ROMANPREET SINGH,XI,22,JASHANS SINGH,DILDEEP KAUR,MALE,8935253465,NON_MED,,
XI_118,SHIKHA KAPOOR,XI,23,SALMAN KAPOOR,SONAM KAPOOR,FEMALE,8345246277,NON_MED,,
XI_179,SONAM KAUR,XI,24,MNRINDER SINGH,JASWANT KAUR,FEMALE,7823412642,MED,,
XI_308,TANYA SHARMA,XI,25,MUNISH SHARMA,TANAMAN SHARMA,FEMALE,9085701234,MED,,
